From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
4848;4849;;1609;-1;-1;-1;-1;
4849;4850;;1609;-1;-1;-1;-1;
4849;4851;;1609;-1;-1;-1;-1;
4849;4852;;1609;-1;-1;-1;-1;
4849;4872;;1609;-1;-1;-1;-1;
4849;4832;;1609;-1;-1;-1;-1;
4850;4832;;1609;-1;-1;-1;-1;
4850;4831;;1609;-1;-1;-1;-1;
4850;4870;;1609;-1;-1;-1;-1;
4850;4853;;1609;-1;-1;-1;-1;
4853;4870;;1609;-1;-1;-1;-1;
4853;4831;;1609;-1;-1;-1;-1;
4853;4855;;1609;-1;-1;-1;-1;
4853;4856;;1609;-1;-1;-1;-1;
4856;4871;;1609;-1;-1;-1;-1;
4856;4870;;1609;-1;-1;-1;-1;
4856;4855;;1609;-1;-1;-1;-1;
4856;4854;;1609;-1;-1;-1;-1;
4856;4857;;1609;-1;-1;-1;-1;
4856;4858;;1609;-1;-1;-1;-1;
4856;4868;;1609;-1;-1;-1;-1;
4858;4868;;1609;-1;-1;-1;-1;
4858;4857;;1609;-1;-1;-1;-1;
4858;4859;;1609;-1;-1;-1;-1;
4857;4859;;1609;-1;-1;-1;-1;
4857;4854;;1609;-1;-1;-1;-1;
4857;4825;;1609;-1;-1;-1;-1;
4859;4868;;1609;-1;-1;-1;-1;
4859;4866;;1609;-1;-1;-1;-1;
4859;4860;;1609;-1;-1;-1;-1;
4859;4825;;1609;-1;-1;-1;-1;
4860;4866;;1609;-1;-1;-1;-1;
4860;4862;;1609;-1;-1;-1;-1;
4860;4865;;1609;-1;-1;-1;-1;
4828;4827;sea;63;-1;-1;-1;-1;
4829;4827;sea;63;-1;-1;-1;-1;
4829;3671;sea;63;-1;-1;-1;-1;
7331;7334;sea;1016;-1;-1;-1;-1;
7334;7315;sea;1016;-1;-1;-1;-1;
7333;3707;sea;1016;-1;-1;-1;-1;
3707;7335;sea;1016;-1;-1;-1;-1;
3706;3724;sea;534;-1;-1;-1;-1;
7311;7337;sea;548;-1;-1;-1;-1;
3704;3708;sea;548;-1;-1;-1;-1;
3704;3705;sea;548;-1;-1;-1;-1;
7320;7298;sea;550;-1;-1;-1;-1;
3708;3709;sea;548;-1;-1;-1;-1;
7390;3633;sea;899;-1;-1;-1;-1;
3635;7354;sea;899;-1;-1;-1;-1;
7354;7358;sea;899;-1;-1;-1;-1;
7360;7384;sea;899;-1;-1;-1;-1;
7406;7410;sea;882;-1;-1;-1;-1;
7344;7347;sea;406;-1;-1;-1;-1;
7347;7346;sea;406;-1;-1;-1;-1;
3719;3718;sea;534;-1;-1;-1;-1;
7394;7414;sea;885;-1;-1;-1;-1;
-1;-1;;-1;-1;-1;-1;-1;-1
